Name,Wallet,Wins,Losses,Total Won,Total Lost,Duplicated Bets,Diff Outcome Count,Diff Outcome Details
brady1234,0xf1ffa0a8bc7cdeb0240027e623b026ced4d0e56a,19,17,1035515.53,398395.75,32,2,"nhl-mon-pit-2025-12-21: Different outcomes (Penguins, Canadiens); nhl-nyi-cbj-2025-12-28: Different outcomes (Islanders, Blue Jackets)"
0xbda318d7996bDf1a36f8e557bf38d7aBB6a1caB2-1766248799523,0xbda318d7996bdf1a36f8e557bf38d7abb6a1cab2,5,8,1269413.28,810236.71,13,0,
0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3,0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3,4,0,447400.64,0.0,4,0,
Cortisfans,0xb2e4567925b79231265adf5d54687ddfb761bc51,55,86,1578083.07,1188333.24,119,2,"dota2-navi-yb1-2025-12-12: Different outcomes (Natus Vincere, Yakutou Brothers); nba-min-nop-2025-12-02: Different outcomes (Pelicans, Timberwolves)"
ScottyNooo,0xbacd00c9080a82ded56f504ee8810af732b0ab35,90,6,687785.76,855.23,64,31,"will-trump-sell-0-gold-cards-in-2025: Different outcomes (No, Yes); russia-x-ukraine-ceasefire-in-2025: Different outcomes (No, Yes); will-trump-talk-to-ursula-von-der-leyen-in-december: Different outcomes (No, Yes); will-the-supreme-court-rule-in-favor-of-trumps-tariffs: Different outcomes (No, Yes); will-trump-talk-to-vladimir-putin-in-december-312: Different outcomes (No, Yes); epstein-client-list-released-in-2025-372: Different outcomes (No, Yes); will-trump-nominate-kevin-warsh-as-the-next-fed-chair: Different outcomes (No, Yes); ukraine-officially-agrees-to-a-us-backed-ceasefire-framework-in-2025: Different outcomes (No, Yes); us-x-venezuela-military-engagement-by-january-31-2026-977: Different outcomes (No, Yes); will-trump-release-a-new-russia-x-ukraine-peace-plan-by-december-31-288: Different outcomes (No, Yes); russia-x-ukraine-ceasefire-by-march-31-2026: Different outcomes (No, Yes); russia-x-ukraine-ceasefire-by-january-31-2026: Different outcomes (No, Yes); will-sydney-sweeney-apologize-for-her-jeans-ad-in-2025: Different outcomes (No, Yes); ukraine-signs-peace-deal-with-russia-in-2025: Different outcomes (No, Yes); epstein-client-list-released-by-june-30: Different outcomes (No, Yes); ukraine-officially-agrees-to-a-us-backed-ceasefire-framework-by-january-31: Different outcomes (No, Yes); will-a-minecraft-movie-have-the-best-domestic-opening-weekend-in-2025: Different outcomes (No, Yes); will-ukraine-agree-to-cede-territory-to-russia: Different outcomes (No, Yes); will-a-minecraft-movie-be-the-top-grossing-movie-of-2025: Different outcomes (No, Yes); us-x-venezuela-military-engagement-by-march-31-2026-264-352-211-137-861-788-622-336-869-453: Different outcomes (No, Yes); will-trump-talk-to-zohran-mamdani-in-december: Different outcomes (No, Yes); ukraine-signs-peace-deal-with-russia-by-march-31: Different outcomes (No, Yes); will-trump-nominate-christopher-waller-as-the-next-fed-chair: Different outcomes (No, Yes); nothing-ever-happens-december: Different outcomes (No, Yes); us-agrees-to-give-ukraine-security-guarantee-in-2025: Different outcomes (No, Yes); will-trump-meet-with-zelenskyy-by-december-31-194-484: Different outcomes (No, Yes); russia-x-ukraine-ceasefire-before-2027: Different outcomes (No, Yes); will-trump-meet-with-zelenskyy-by-december-28: Different outcomes (No, Yes); us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971-353-859-836-598-255-382-192-983: Different outcomes (No, Yes); us-x-venezuela-military-engagement-by-january-15-2026-392: Different outcomes (No, Yes); will-trump-meet-with-netanyahu-again-before-2026: Different outcomes (No, Yes)"
ckw,0x92672c80d36dcd08172aa1e51dface0f20b70f9a,38,22,416052.37,458057.78,46,1,"cfb-old-sfl-2025-12-17-total-53pt5: Different outcomes (Under, Over)"
RN1,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,53,9,276732.14,2424.78,41,37,"nfl-no-ten-2025-12-28: Different outcomes (Saints, Titans); cbb-ncol-col-2025-12-28: Different outcomes (Colorado Buffaloes, Northern Colorado Bears); acn-civ-cmr-2025-12-28-draw: Different outcomes (No, Yes); sea-ata-int-2025-12-28-total-1pt5: Different outcomes (Under, Over); nba-gsw-tor-2025-12-28-spread-away-3pt5: Different outcomes (Warriors, Raptors); nfl-phi-buf-2025-12-28-spread-home-3pt5: Different outcomes (Bills, Eagles); nfl-sea-car-2025-12-28: Different outcomes (Panthers, Seahawks); nba-phi-okc-2025-12-28-total-225pt5: Different outcomes (Under, Over); nfl-nyg-lv-2025-12-28-total-40pt5: Different outcomes (Under, Over); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); nba-phi-okc-2025-12-28: Different outcomes (76ers, Thunder); acn-civ-cmr-2025-12-28-cmr: Different outcomes (No, Yes); sea-ata-int-2025-12-28-int: Different outcomes (No, Yes); sea-ata-int-2025-12-28-draw: Different outcomes (No, Yes); por-spo-rio-2025-12-28-spo: Different outcomes (No, Yes); nfl-phi-buf-2025-12-28-total-43pt5: Different outcomes (Under, Over); nba-phi-okc-2025-12-28-spread-home-14pt5: Different outcomes (76ers, Thunder); sea-ata-int-2025-12-28-total-3pt5: Different outcomes (Under, Over); nfl-nyg-lv-2025-12-28: Different outcomes (Raiders, Giants); nfl-phi-buf-2025-12-28-spread-home-2pt5: Different outcomes (Bills, Eagles); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles); sea-ata-int-2025-12-28-total-2pt5: Different outcomes (Under, Over); cbb-librty-flint-2025-12-28: Different outcomes (Liberty Flames, Florida International Golden Panthers); nfl-nyg-lv-2025-12-28-spread-away-3pt5: Different outcomes (Raiders, Giants); nba-gsw-tor-2025-12-28: Different outcomes (Warriors, Raptors); por-spo-rio-2025-12-28-rio: Different outcomes (No, Yes); sea-ata-int-2025-12-28-spread-away-1pt5: Different outcomes (FC Internazionale Milano, Atalanta BC); cbb-lemyn-boscol-2025-12-28: Different outcomes (Le Moyne Dolphins, Boston College Eagles); nba-phi-okc-2025-12-28-total-228pt5: Different outcomes (Under, Over); sea-ata-int-2025-12-28-btts: Different outcomes (No, Yes); nfl-nyg-lv-2025-12-28-total-41pt5: Different outcomes (Under, Over); cbb-chsou-rich-2025-12-28: Different outcomes (Richmond Spiders, Charleston Southern Buccaneers); sea-ata-int-2025-12-28-ata: Different outcomes (No, Yes); nfl-pit-cle-2025-12-28: Different outcomes (Steelers, Browns); acn-civ-cmr-2025-12-28-civ: Different outcomes (No, Yes); cbb-colmb-nfl-2025-12-28: Different outcomes (Columbia Lions, North Florida Ospreys); nfl-nyg-lv-2025-12-28-spread-away-2pt5: Different outcomes (Raiders, Giants)"
Pwaddler,0x1d1ade627d0bb0205758580b20d808573e720df6,39,18,609640.2,116306.48,43,1,"nfl-lv-hou-2025-12-21-total-39pt5: Different outcomes (Under, Over)"
123ComeBack456,0xaefeb1f121eeccc9b3a2d2283139cc93a08a1e4a,27,23,2699320.29,3249655.84,30,1,"nhl-chi-fla-2025-10-07: Different outcomes (Panthers, Blackhawks)"
chungguskhan,0x7744bfd749a70020d16a1fcbac1d064761c9999e,43,8,1089750.75,154252.24,25,4,"lighter-market-cap-fdv-4b-one-day-after-launch-886-225: Different outcomes (No, Yes); will-lighter-perform-an-airdrop-by-december-31: Different outcomes (No, Yes); will-trump-release-the-epstein-files-by-december-19-771: Different outcomes (No, Yes); lighter-airdrop-on-december-29: Different outcomes (No, Yes)"
